"","X","trt","age","educ","black","hisp","marr","nodeg","re74","re75","re78"
"222",2606,1,21,12,0,0,0,0,3670.872,334.0494,12558.02
"223",2607,1,27,12,1,0,0,0,2143.413,357.9499,22163.25
"224",2608,1,20,12,1,0,0,0,0,377.5686,1652.637
"225",2609,1,19,10,1,0,0,1,0,385.2741,8124.715
"226",2611,1,29,14,1,0,0,0,0,679.6734,17814.98
"227",2612,1,18,10,1,0,0,1,0,798.9079,9737.154
"228",2613,1,19,9,1,0,0,1,0,798.9079,17685.18
"229",2615,1,18,11,0,0,0,1,3678.231,919.5579,4321.705
"230",2616,1,27,9,1,0,1,1,0,934.4454,1773.423
"231",2618,1,23,10,1,0,1,1,0,936.4386,11233.26
"232",2620,1,20,11,1,0,0,1,3637.498,1220.836,1085.44
"233",2621,1,17,9,1,0,0,1,1716.509,1253.439,5445.2
"234",2623,1,26,11,1,0,1,1,0,1392.853,1460.36
"235",2625,1,24,11,1,0,1,1,824.3886,1666.113,4032.708
"236",2626,1,31,9,1,0,0,1,0,1698.607,10363.27
"237",2627,1,23,8,0,0,1,1,0,1713.15,4232.309
"238",2628,1,18,10,1,0,0,1,2143.411,1784.274,11141.39
"239",2630,1,26,11,0,0,0,1,0,2226.266,13385.86
"240",2633,1,24,10,1,0,0,1,4250.402,2421.947,1660.508
"241",2635,1,31,12,0,0,0,0,0,2611.218,2484.549
"242",2636,1,19,11,1,0,0,1,2305.026,2615.276,4146.603
"243",2637,1,19,8,1,0,0,1,0,2657.057,9970.681
"244",2638,1,27,11,1,0,0,1,2206.94,2666.274,0
"245",2639,1,26,11,1,0,1,1,0,2754.646,26372.28
"246",2641,1,28,10,1,0,0,1,0,2836.506,3196.571
"247",2643,1,19,8,1,0,0,1,2636.353,2937.264,7535.942
"248",2647,1,18,9,1,0,0,1,0,3287.375,5010.342
"249",2649,1,27,10,1,0,0,1,1001.146,3550.075,0
"250",2650,1,21,8,1,0,0,1,989.2678,3695.897,4279.613
"251",2651,1,22,9,1,0,0,1,2192.877,3836.986,3462.564
"252",2654,1,29,10,1,0,0,1,0,4398.95,0
